,SY,KW,AE,IR,JO,LB,OM,QA,SA,PS,BH,IQ,EG,TR
SY,130.759167,159.816045,148.783901,79.8294,110.947542,85.369185,252.194447,176.481224,111.063667,161.567585,136.64243,44.923065,99.096865,121.23877
KW,110.868959,0.48388,15.95601,63.426829,38.2775,95.81552,195.061111,10.770572,29.9714,168.83705,28.134055,147.07242,101.49997,120.31483
AE,164.48962,15.480529,0.5282,41.918315,35.857375,161.783465,8.81747,9.169692,20.896541,211.10654,11.300635,161.595681,153.91614,158.9117
IR,111.677,76.668687,116.40732,0.720675,125.190584,124.3127,42.85995,183.158951,97.939625,155.66096,39.947195,46.13073,129.533745,63.446935
JO,105.954195,46.809609,40.656392,123.44379,0.916625,94.976275,119.599125,55.644719,61.3145,104.425083,117.43147,119.59584,114.947755,89.878395
LB,68.478584,97.791719,135.337875,111.19714,82.543708,0.95594,159.571754,104.295068,87.692042,82.156375,92.204475,113.359127,78.925645,74.023696
OM,164.225375,24.516508,8.942833,35.273075,119.599125,135.39404,0.639123,12.416431,185.96359,194.65713,16.77587,169.663522,183.991605,147.84063
QA,153.723416,25.054362,10.29509,155.654375,103.496708,134.67818,13.948154,0.352481,97.114135,185.094375,15.05719,166.834875,146.048895,132.273434
SA,97.53477,31.243755,17.566805,97.654715,89.847209,74.004965,174.14225,35.963324,15.557333,150.56568,18.444275,127.566362,85.04177,86.218475
PS,114.892209,139.571489,159.22509,123.833355,104.425083,103.97386,171.884101,151.26733,123.214917,19.228855,145.935395,114.988295,120.43989,84.20409
BH,125.967458,28.7277,10.16549,42.728615,101.73575,92.058355,16.786392,7.096817,18.117655,175.112945,1.922265,143.615965,100.61732,116.874505
IQ,129.678708,146.577724,54.139515,87.802965,72.911583,114.97615,185.257087,185.93043,34.401459,137.470835,102.181955,1.31869,132.843085,60.24275
EG,93.29925,114.14356,111.687135,100.128708,78.544376,64.451325,183.991605,142.474187,83.229876,120.43989,90.10968,93.156882,20.73107,69.23547
TR,102.118583,133.451161,133.6366,39.094445,96.556542,77.65173,155.975285,154.982693,119.189708,114.311635,110.6467,29.262815,105.74722,5.50625